Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
TSLA211231C01125000,TSLA211231C01125000,Buy,Filled,1,1,@2.75,2.75,DAY,12/30/2021 09:36:34 EST,12/30/2021 09:36:34 EST
TSLA211231P01020000,TSLA211231P01020000,Sell,Filled,1,1,2.88,2.88,DAY,12/29/2021 10:56:29 EST,12/29/2021 10:56:30 EST
TSLA211231P01020000,TSLA211231P01020000,Sell,Cancelled,0,1,@4.30,,DAY,12/29/2021 10:56:17 EST,
TSLA211231P01020000,TSLA211231P01020000,Buy,Filled,1,1,@4.30,4.30,DAY,12/29/2021 10:01:47 EST,12/29/2021 10:01:55 EST
TSLA211231C01300000,TSLA211231C01300000,Sell,Filled,1,1,@0.360,0.360,DAY,12/29/2021 09:55:36 EST,12/29/2021 09:55:36 EST
HD211231C00415000,HD211231C00415000,Sell,Filled,2,2,@0.980,0.980,DAY,12/29/2021 09:53:20 EST,12/29/2021 09:53:32 EST
HD211231C00415000,HD211231C00415000,Buy,Filled,2,2,@0.740,0.740,DAY,12/29/2021 09:47:13 EST,12/29/2021 09:47:13 EST
NVDA211231C00320000,NVDA211231C00320000,Sell,Filled,2,2,0.480,0.480,DAY,12/29/2021 09:43:57 EST,12/29/2021 09:43:57 EST
NVDA211231C00330000,NVDA211231C00330000,Buy,Filled,1,1,@0.310,0.310,DAY,12/28/2021 13:33:09 EST,12/28/2021 13:33:09 EST
QQQ211229C00406000,QQQ211229C00406000,Sell,Filled,2,2,0.350,0.350,DAY,12/28/2021 12:38:20 EST,12/28/2021 12:38:21 EST
QQQ211229C00406000,QQQ211229C00406000,Buy,Filled,2,2,@0.620,0.620,DAY,12/28/2021 11:58:00 EST,12/28/2021 11:58:00 EST
AMD211231C00162500,AMD211231C00162500,Sell,Filled,1,1,@0.370,0.370,DAY,12/28/2021 11:40:46 EST,12/28/2021 11:41:14 EST
AAPL211231C00182500,AAPL211231C00182500,Sell,Filled,1,1,@0.920,0.920,DAY,12/28/2021 11:27:05 EST,12/28/2021 11:27:05 EST
ROKU211231C00260000,ROKU211231C00260000,Sell,Filled,1,1,0.840,0.840,DAY,12/28/2021 10:46:09 EST,12/28/2021 10:46:09 EST
NFLX211231C00630000,NFLX211231C00630000,Sell,Filled,1,1,2.04,2.04,DAY,12/28/2021 10:40:51 EST,12/28/2021 10:40:52 EST
NVDA211231C00320000,NVDA211231C00320000,Buy,Filled,2,2,@1.50,1.50,DAY,12/28/2021 10:17:18 EST,12/28/2021 10:17:24 EST
NFLX211231C00630000,NFLX211231C00630000,Buy,Filled,1,1,@2.83,2.83,DAY,12/28/2021 10:14:26 EST,12/28/2021 10:14:31 EST
ROKU211231C00260000,ROKU211231C00260000,Buy,Filled,1,1,@1.29,1.29,DAY,12/28/2021 09:50:41 EST,12/28/2021 09:50:48 EST
GOOGL211231C03050000,GOOGL211231C03050000,Sell,Filled,1,1,0.950,0.950,DAY,12/28/2021 09:48:38 EST,12/28/2021 09:48:38 EST
TSLA211231C01300000,TSLA211231C01300000,Buy,Filled,1,1,@0.840,0.840,GTC,12/28/2021 07:54:54 EST,12/28/2021 09:39:55 EST
GOOGL211231C03050000,GOOGL211231C03050000,Sell,Cancelled,0,1,@1.20,,DAY,12/27/2021 14:46:09 EST,
TSLA211231C01300000,TSLA211231C01300000,Sell,Filled,1,1,@1.10,1.10,DAY,12/27/2021 14:45:49 EST,12/27/2021 14:52:03 EST
NVDA211231C00315000,NVDA211231C00315000,Sell,Filled,1,1,3.32,3.32,DAY,12/27/2021 11:07:07 EST,12/27/2021 11:07:07 EST
AMD211231C00162500,AMD211231C00162500,Buy,Filled,1,1,@0.620,0.620,DAY,12/27/2021 10:47:05 EST,12/27/2021 10:47:05 EST
MSFT211231C00345000,MSFT211231C00345000,Sell,Filled,1,1,1.23,1.23,DAY,12/27/2021 10:31:16 EST,12/27/2021 10:31:16 EST
MSFT211231C00345000,MSFT211231C00345000,Buy,Filled,1,1,@1.19,1.19,DAY,12/27/2021 10:28:25 EST,12/27/2021 10:28:25 EST
FB211231C00350000,FB211231C00350000,Sell,Filled,1,1,@2.32,2.32,DAY,12/27/2021 10:11:00 EST,12/27/2021 10:11:05 EST
TSLA211231C01300000,TSLA211231C01300000,Buy,Filled,1,1,@2.32,2.32,DAY,12/27/2021 10:05:00 EST,12/27/2021 10:05:07 EST
COIN211231C00300000,COIN211231C00300000,Sell,Filled,1,1,1.60,1.60,DAY,12/27/2021 09:50:31 EST,12/27/2021 09:50:31 EST
AAPL211231C00182500,AAPL211231C00182500,Buy,Filled,1,1,@0.850,0.850,DAY,12/27/2021 09:43:04 EST,12/27/2021 09:44:01 EST
GOOGL211231C03050000,GOOGL211231C03050000,Buy,Filled,1,1,@2.80,2.80,DAY,12/27/2021 09:40:42 EST,12/27/2021 09:46:51 EST
FB211231C00350000,FB211231C00350000,Buy,Filled,1,1,@2.05,2.05,DAY,12/27/2021 09:34:59 EST,12/27/2021 09:35:13 EST
COIN211231C00300000,COIN211231C00300000,Buy,Filled,1,1,@2.20,2.20,DAY,12/27/2021 09:32:36 EST,12/27/2021 09:35:30 EST
NVDA211231C00315000,NVDA211231C00315000,Buy,Filled,1,1,@1.78,1.78,DAY,12/27/2021 09:32:08 EST,12/27/2021 09:32:08 EST
SPY211227C00474000,SPY211227C00474000,Buy,Cancelled,0,2,@0.480,,DAY,12/27/2021 09:31:50 EST,
TSLA211223C01105000,TSLA211223C01105000,Sell,Cancelled,0,1,@0.050,,DAY,12/23/2021 15:36:39 EST,
TSLA211223C01105000,TSLA211223C01105000,Buy,Filled,1,1,@0.610,0.610,DAY,12/23/2021 13:23:51 EST,12/23/2021 13:23:51 EST
AAPL211223C00177500,AAPL211223C00177500,Sell,Filled,2,2,@0.060,0.060,DAY,12/23/2021 13:21:18 EST,12/23/2021 13:22:41 EST
TSLA211223C01100000,TSLA211223C01100000,Buy,Cancelled,0,1,@0.670,,DAY,12/23/2021 13:20:34 EST,
TSLA211223C01070000,TSLA211223C01070000,Sell,Filled,1,1,5.79,5.79,DAY,12/23/2021 12:19:00 EST,12/23/2021 12:19:00 EST
TSLA211223C01070000,TSLA211223C01070000,Sell,Cancelled,0,1,@6.00,,DAY,12/23/2021 12:18:26 EST,
TSLA211223C01070000,TSLA211223C01070000,Buy,Filled,1,1,@2.79,2.79,DAY,12/23/2021 11:48:55 EST,12/23/2021 11:48:55 EST
AAPL211223C00177500,AAPL211223C00177500,Buy,Filled,2,2,@0.160,0.160,DAY,12/23/2021 11:45:32 EST,12/23/2021 11:45:32 EST
CVS211223P00101000,CVS211223P00101000,Sell,Filled,4,4,0.130,0.130,DAY,12/23/2021 11:42:34 EST,12/23/2021 11:42:34 EST
AAPL211223C00177500,AAPL211223C00177500,Sell,Filled,10,10,0.150,0.150,DAY,12/23/2021 11:39:47 EST,12/23/2021 11:39:48 EST
CVS211223P00101000,CVS211223P00101000,Sell,Cancelled,0,4,@0.180,,DAY,12/23/2021 11:39:03 EST,
CVS211223P00101000,CVS211223P00101000,Buy,Filled,4,4,@0.170,0.170,DAY,12/23/2021 11:37:46 EST,12/23/2021 11:37:54 EST
AAPL211223C00177500,AAPL211223C00177500,Buy,Filled,10,10,@0.160,0.160,DAY,12/23/2021 11:35:04 EST,12/23/2021 11:35:05 EST
TSLA211223P01000000,TSLA211223P01000000,Sell,Filled,2,2,0.240,0.240,DAY,12/23/2021 11:31:39 EST,12/23/2021 11:31:39 EST
FB211223C00340000,FB211223C00340000,Buy,Filled,2,2,@0.110,0.110,DAY,12/23/2021 11:30:26 EST,12/23/2021 11:30:26 EST
GOOG211223C02970000,GOOG211223C02970000,Sell,Filled,1,1,@5.36,5.36,DAY,12/23/2021 11:14:47 EST,12/23/2021 11:14:48 EST
GOOG211223C02970000,GOOG211223C02970000,Buy,Filled,1,1,@4.11,4.11,DAY,12/23/2021 11:12:39 EST,12/23/2021 11:12:39 EST
GOOG211223C02970000,GOOG211223C02970000,Buy,Cancelled,0,1,@4.70,,DAY,12/23/2021 11:12:18 EST,
TSLA211223P01000000,TSLA211223P01000000,Buy,Filled,1,1,@0.410,0.410,DAY,12/23/2021 11:09:30 EST,12/23/2021 11:09:30 EST
TSLA211223P01000000,TSLA211223P01000000,Buy,Filled,1,1,@0.380,0.380,DAY,12/23/2021 11:08:31 EST,12/23/2021 11:08:32 EST
QQQ211222P00391000,QQQ211222P00391000,Sell,Filled,1,1,0.300,0.300,DAY,12/22/2021 13:15:31 EST,12/22/2021 13:15:31 EST
RBLX211231C00120000,RBLX211231C00120000,Sell,Filled,1,1,0.390,0.390,DAY,12/22/2021 13:15:20 EST,12/22/2021 13:15:20 EST
QQQ211222P00391000,QQQ211222P00391000,Buy,Filled,1,1,@0.430,0.430,DAY,12/22/2021 11:25:00 EST,12/22/2021 11:25:01 EST
TSLA211223C01030000,TSLA211223C01030000,Sell,Filled,1,1,@5.70,5.70,DAY,12/22/2021 11:04:25 EST,12/22/2021 11:05:48 EST
TSM211223C00120000,TSM211223C00120000,Sell,Filled,3,3,@0.530,0.530,DAY,12/22/2021 10:18:25 EST,12/22/2021 10:18:26 EST
TSM211223C00120000,TSM211223C00120000,Buy,Filled,3,3,@0.390,0.390,DAY,12/22/2021 09:58:32 EST,12/22/2021 09:58:33 EST
RBLX211231C00120000,RBLX211231C00120000,Buy,Filled,1,1,@1.05,1.05,DAY,12/22/2021 09:56:52 EST,12/22/2021 09:57:43 EST
MU211223C00090000,MU211223C00090000,Sell,Filled,1,1,1.12,1.12,DAY,12/22/2021 09:50:38 EST,12/22/2021 09:50:38 EST
COST211223C00565000,COST211223C00565000,Sell,Filled,2,2,0.120,0.120,DAY,12/22/2021 09:50:29 EST,12/22/2021 09:50:29 EST
EBAY211223P00063000,EBAY211223P00063000,Sell,Filled,1,1,0.090,0.090,DAY,12/22/2021 09:49:20 EST,12/22/2021 09:49:20 EST
KMX211223P00110000,KMX211223P00110000,Sell,Filled,1,1,0.010,0.010,DAY,12/22/2021 09:49:14 EST,12/22/2021 09:49:14 EST
TSLA211223C01030000,TSLA211223C01030000,Buy,Filled,1,1,@3.00,3.00,DAY,12/22/2021 09:48:13 EST,12/22/2021 09:48:16 EST
AAPL211223C00172500,AAPL211223C00172500,Sell,Filled,1,1,1.72,1.72,DAY,12/22/2021 09:43:27 EST,12/22/2021 09:43:27 EST
COST211223C00565000,COST211223C00565000,Buy,Filled,2,2,@0.400,0.400,DAY,12/21/2021 15:34:33 EST,12/21/2021 15:34:33 EST
MARA211223C00035000,MARA211223C00035000,Buy,Cancelled,0,2,@0.500,,DAY,12/21/2021 11:40:30 EST,
SQ211223C00172500,SQ211223C00172500,Sell,Filled,1,1,0.540,0.540,DAY,12/21/2021 11:19:42 EST,12/21/2021 11:19:42 EST
SBUX211223C00111000,SBUX211223C00111000,Sell,Filled,2,2,@0.560,0.560,DAY,12/21/2021 11:19:03 EST,12/21/2021 11:19:03 EST
DIS211223P00148000,DIS211223P00148000,Sell,Filled,1,1,@0.520,0.520,DAY,12/21/2021 11:10:35 EST,12/21/2021 11:10:42 EST
FB211223C00330000,FB211223C00330000,Sell,Filled,1,1,@2.79,2.79,DAY,12/21/2021 11:05:34 EST,12/21/2021 11:07:44 EST
MU211223P00086000,MU211223P00086000,Sell,Filled,1,1,@0.490,0.490,DAY,12/21/2021 11:03:15 EST,12/21/2021 11:05:02 EST
MU211223P00086000,MU211223P00086000,Buy,Filled,1,1,@0.550,0.550,DAY,12/21/2021 11:01:38 EST,12/21/2021 11:01:38 EST
SQ211223C00172500,SQ211223C00172500,Buy,Cancelled,1,2,@0.450,0.450,DAY,12/21/2021 10:55:26 EST,12/21/2021 11:00:30 EST
ZM211223C00200000,ZM211223C00200000,Buy,Cancelled,0,1,@1.70,,DAY,12/21/2021 10:42:36 EST,
DIS211223P00148000,DIS211223P00148000,Buy,Filled,1,1,@0.710,0.710,DAY,12/21/2021 10:28:59 EST,12/21/2021 10:29:02 EST
FB211223C00330000,FB211223C00330000,Sell,Cancelled,0,1,@1.91,,DAY,12/21/2021 10:11:56 EST,
FB211223C00330000,FB211223C00330000,Buy,Filled,1,1,@1.80,1.80,DAY,12/21/2021 10:03:10 EST,12/21/2021 10:03:11 EST
AAPL211223C00172500,AAPL211223C00172500,Buy,Filled,1,1,@1.35,1.35,DAY,12/21/2021 09:58:40 EST,12/21/2021 09:58:51 EST
MU211223C00090000,MU211223C00090000,Buy,Filled,1,1,@1.51,1.51,DAY,12/21/2021 09:56:21 EST,12/21/2021 09:56:21 EST
SBUX211223C00111000,SBUX211223C00111000,Buy,Filled,2,2,@0.470,0.470,DAY,12/21/2021 09:51:47 EST,12/21/2021 09:51:47 EST
KMX211223P00110000,KMX211223P00110000,Buy,Filled,1,1,@0.700,0.700,DAY,12/21/2021 09:38:01 EST,12/21/2021 09:47:17 EST
NFLX211223P00555000,NFLX211223P00555000,Sell,Filled,3,3,0.710,0.710,DAY,12/20/2021 14:06:54 EST,12/20/2021 14:06:55 EST
EBAY211223P00063000,EBAY211223P00063000,Buy,Filled,1,1,@0.550,0.550,DAY,12/20/2021 13:24:41 EST,12/20/2021 13:24:41 EST
NFLX211223P00555000,NFLX211223P00555000,Buy,Filled,1,1,@1.19,1.19,DAY,12/20/2021 12:59:18 EST,12/20/2021 12:59:18 EST
NFLX211223P00555000,NFLX211223P00555000,Buy,Filled,2,2,@1.15,1.15,DAY,12/20/2021 12:47:09 EST,12/20/2021 12:47:18 EST
SPY211220C00454000,SPY211220C00454000,Sell,Filled,2,2,@0.660,0.660,DAY,12/20/2021 12:15:02 EST,12/20/2021 12:15:02 EST
TSLA211223C01000000,TSLA211223C01000000,Sell,Filled,1,1,@1.20,1.20,DAY,12/20/2021 12:00:54 EST,12/20/2021 15:54:54 EST
MSFT211223P00310000,MSFT211223P00310000,Sell,Filled,1,1,@1.32,1.32,DAY,12/20/2021 12:00:35 EST,12/20/2021 12:19:08 EST
TSLA211223C01000000,TSLA211223C01000000,Buy,Filled,1,1,@1.75,1.75,DAY,12/20/2021 11:58:41 EST,12/20/2021 12:00:08 EST
MSFT211223P00310000,MSFT211223P00310000,Buy,Filled,1,1,@1.76,1.76,DAY,12/20/2021 11:30:45 EST,12/20/2021 11:30:45 EST
ORCL211223P00092000,ORCL211223P00092000,Buy,Cancelled,0,2,@0.850,,DAY,12/20/2021 10:50:45 EST,
ORCL211223P00092000,ORCL211223P00092000,Buy,Cancelled,0,2,@0.750,,DAY,12/20/2021 10:42:53 EST,
SPY211220C00454000,SPY211220C00454000,Buy,Filled,2,2,@1.10,1.10,DAY,12/20/2021 10:26:57 EST,12/20/2021 10:29:03 EST
NVDA211217P00280000,NVDA211217P00280000,Buy,Cancelled,0,1,@1.42,,DAY,12/17/2021 11:40:47 EST,
TSLA211217C00975000,TSLA211217C00975000,Sell,Filled,1,1,@1.08,1.08,DAY,12/17/2021 11:35:06 EST,12/17/2021 11:35:07 EST
COST211217C00555000,COST211217C00555000,Sell,Filled,1,1,@1.07,1.07,DAY,12/17/2021 11:32:27 EST,12/17/2021 11:32:27 EST
TSLA211217C00975000,TSLA211217C00975000,Buy,Filled,1,1,@1.85,1.85,DAY,12/17/2021 11:27:25 EST,12/17/2021 11:28:01 EST
SPY211217C00470000,SPY211217C00470000,Sell,Filled,1,1,@0.100,0.100,DAY,12/17/2021 11:02:05 EST,12/17/2021 11:02:05 EST
TSLA211217C00960000,TSLA211217C00960000,Sell,Filled,1,1,@4.40,4.40,DAY,12/17/2021 10:43:23 EST,12/17/2021 10:43:23 EST
AMD211217C00143000,AMD211217C00143000,Sell,Filled,1,1,0.210,0.210,DAY,12/17/2021 10:15:33 EST,12/17/2021 10:15:33 EST
TSLA211217C00960000,TSLA211217C00960000,Buy,Filled,1,1,@1.80,1.80,DAY,12/17/2021 10:07:47 EST,12/17/2021 10:12:06 EST
COST211217C00555000,COST211217C00555000,Sell,Cancelled,0,1,@3.45,,DAY,12/17/2021 09:56:03 EST,
AMD211217C00143000,AMD211217C00143000,Buy,Filled,1,1,@0.500,0.500,DAY,12/17/2021 09:54:52 EST,12/17/2021 09:54:58 EST
COST211217C00555000,COST211217C00555000,Buy,Filled,1,1,@2.75,2.75,DAY,12/17/2021 09:50:17 EST,12/17/2021 09:51:26 EST
COUP211217C00225000,COUP211217C00225000,Sell,Cancelled,0,1,@0.050,,DAY,12/17/2021 09:46:25 EST,
COUP211217C00225000,COUP211217C00225000,Sell,Cancelled,0,1,@Market,,DAY,12/17/2021 09:46:08 EST,
TSLA211217C00985000,TSLA211217C00985000,Sell,Filled,1,1,0.660,0.660,DAY,12/17/2021 09:30:54 EST,12/17/2021 09:30:54 EST
FDX211217P00225000,FDX211217P00225000,Sell,Cancelled,0,1,@4.05,,GTC,12/16/2021 21:04:54 EST,
RH211217P00520000,RH211217P00520000,Sell,Filled,1,1,@0.800,0.800,DAY,12/16/2021 15:38:06 EST,12/16/2021 15:38:07 EST
RH211217P00520000,RH211217P00520000,Sell,Cancelled,0,1,@1.55,,DAY,12/16/2021 15:18:17 EST,
FB211223C00355000,FB211223C00355000,Sell,Filled,1,1,@1.03,1.03,DAY,12/16/2021 15:17:30 EST,12/16/2021 15:17:30 EST
COUP211217C00225000,COUP211217C00225000,Sell,Cancelled,0,1,@Market,,DAY,12/16/2021 14:29:45 EST,
SPY211217C00470000,SPY211217C00470000,Buy,Filled,1,1,@0.830,0.830,DAY,12/16/2021 13:58:43 EST,12/16/2021 13:58:57 EST
TSLA211217C00985000,TSLA211217C00985000,Buy,Filled,1,1,@3.15,3.15,DAY,12/16/2021 13:53:55 EST,12/16/2021 13:53:55 EST
FDX211217C00270000,FDX211217C00270000,Buy,Cancelled,0,1,@0.850,,DAY,12/16/2021 13:48:33 EST,
DIS211217P00146000,DIS211217P00146000,Sell,Filled,1,1,0.080,0.080,DAY,12/16/2021 13:44:46 EST,12/16/2021 13:44:46 EST
RH211217P00520000,RH211217P00520000,Buy,Filled,1,1,@1.30,1.30,DAY,12/16/2021 13:09:43 EST,12/16/2021 13:13:58 EST
DIS211217P00146000,DIS211217P00146000,Buy,Filled,1,1,@0.130,0.130,DAY,12/16/2021 12:48:58 EST,12/16/2021 12:48:58 EST
FDX211217P00225000,FDX211217P00225000,Buy,Filled,1,1,@2.20,2.20,DAY,12/16/2021 11:43:18 EST,12/16/2021 11:43:18 EST
DIS211217P00146000,DIS211217P00146000,Sell,Filled,4,4,@0.050,0.050,DAY,12/16/2021 11:31:10 EST,12/16/2021 11:31:10 EST
PFE211217C00061000,PFE211217C00061000,Buy,Cancelled,0,5,@0.300,,DAY,12/16/2021 11:09:32 EST,
FB211223C00355000,FB211223C00355000,Buy,Filled,1,1,@2.45,2.45,DAY,12/16/2021 10:42:13 EST,12/16/2021 10:42:39 EST
PFE211217C00065000,PFE211217C00065000,Sell,Filled,10,10,@0.040,0.040,DAY,12/16/2021 10:33:18 EST,12/16/2021 10:53:37 EST
PFE211217C00065000,PFE211217C00065000,Sell,Cancelled,0,10,@0.040,,DAY,12/16/2021 10:30:53 EST,
PFE211217C00065000,PFE211217C00065000,Sell,Cancelled,0,10,@0.040,,DAY,12/16/2021 10:29:22 EST,
PFE211217C00065000,PFE211217C00065000,Buy,Filled,10,10,@0.070,0.070,DAY,12/16/2021 10:13:51 EST,12/16/2021 10:13:51 EST
RBLX211217C00105000,RBLX211217C00105000,Sell,Filled,2,2,@0.590,0.590,DAY,12/16/2021 10:07:41 EST,12/16/2021 10:07:41 EST
DIS211217P00146000,DIS211217P00146000,Buy,Filled,2,2,@0.180,0.180,DAY,12/16/2021 10:04:42 EST,12/16/2021 10:04:46 EST
DIS211217P00146000,DIS211217P00146000,Buy,Cancelled,0,2,@0.110,,DAY,12/16/2021 09:51:52 EST,
FB211217C00347500,FB211217C00347500,Sell,Filled,1,1,@1.96,1.96,DAY,12/16/2021 09:50:21 EST,12/16/2021 09:52:31 EST
RBLX211217C00105000,RBLX211217C00105000,Sell,Cancelled,0,2,@1.95,,DAY,12/16/2021 09:49:46 EST,
DIS211217P00146000,DIS211217P00146000,Buy,Filled,2,2,@0.140,0.140,DAY,12/16/2021 09:38:52 EST,12/16/2021 09:38:52 EST
RBLX211217C00105000,RBLX211217C00105000,Buy,Filled,2,2,@1.05,1.05,DAY,12/16/2021 09:37:54 EST,12/16/2021 09:38:07 EST
FB211217C00347500,FB211217C00347500,Buy,Filled,1,1,@1.26,1.26,DAY,12/16/2021 09:36:14 EST,12/16/2021 09:36:47 EST
COUP211217C00225000,COUP211217C00225000,Sell,Cancelled,0,1,@Market,,DAY,12/16/2021 09:33:50 EST,
COUP211217C00225000,COUP211217C00225000,Sell,Cancelled,0,1,@0.300,,DAY,12/16/2021 09:33:23 EST,
F211223C00021000,F211223C00021000,Sell,Filled,5,5,@0.450,0.450,DAY,12/16/2021 09:31:57 EST,12/16/2021 09:31:57 EST
DIS211217P00146000,DIS211217P00146000,Buy,Cancelled,0,2,@0.400,,DAY,12/15/2021 14:30:21 EST,
NVDA211223C00300000,NVDA211223C00300000,Sell,Filled,1,1,@5.40,5.40,DAY,12/15/2021 14:26:14 EST,12/15/2021 14:26:14 EST
SU220318C00030000,SU220318C00030000,Sell,Filled,3,3,@0.250,0.250,DAY,12/15/2021 14:21:03 EST,12/15/2021 14:31:29 EST
DIS211217P00146000,DIS211217P00146000,Sell,Filled,2,2,@0.380,0.380,DAY,12/15/2021 14:19:11 EST,12/15/2021 14:19:23 EST
NVDA211223C00300000,NVDA211223C00300000,Buy,Filled,1,1,@6.00,6.00,DAY,12/15/2021 14:15:24 EST,12/15/2021 14:15:26 EST
RBLX211217P00090000,RBLX211217P00090000,Sell,Filled,1,1,@1.27,1.27,DAY,12/15/2021 14:10:03 EST,12/15/2021 14:10:03 EST
AVGO211217P00595000,AVGO211217P00595000,Sell,Filled,1,1,0.720,0.720,DAY,12/15/2021 13:52:57 EST,12/15/2021 13:52:57 EST
SU220318C00030000,SU220318C00030000,Sell,Cancelled,0,3,@0.300,,DAY,12/15/2021 13:52:47 EST,
DIS211217P00146000,DIS211217P00146000,Buy,Filled,2,2,@0.600,0.600,DAY,12/15/2021 13:35:15 EST,12/15/2021 13:35:16 EST
AVGO211217P00595000,AVGO211217P00595000,Buy,Filled,1,1,@1.10,1.10,DAY,12/15/2021 12:14:15 EST,12/15/2021 12:14:15 EST
RBLX211217P00090000,RBLX211217P00090000,Buy,Filled,1,1,@1.40,1.40,DAY,12/15/2021 12:03:59 EST,12/15/2021 12:52:20 EST
TSLA211217P00870000,TSLA211217P00870000,Sell,Filled,1,1,@4.00,4.00,DAY,12/15/2021 11:37:51 EST,12/15/2021 11:37:55 EST
ATVI211217P00057000,ATVI211217P00057000,Sell,Filled,12,12,@0.200,0.200,DAY,12/15/2021 11:08:31 EST,12/15/2021 11:08:31 EST
ATVI211217P00057000,ATVI211217P00057000,Buy,Filled,2,2,@0.290,0.290,DAY,12/15/2021 10:43:35 EST,12/15/2021 10:43:35 EST
ATVI211217P00057000,ATVI211217P00057000,Buy,Filled,10,10,@0.320,0.320,DAY,12/15/2021 10:37:07 EST,12/15/2021 10:37:07 EST
MSFT211217C00335000,MSFT211217C00335000,Sell,Filled,1,1,@1.42,1.42,DAY,12/15/2021 10:28:21 EST,12/15/2021 10:28:24 EST
TSLA211217P00870000,TSLA211217P00870000,Buy,Filled,1,1,@2.69,2.69,DAY,12/15/2021 10:15:01 EST,12/15/2021 10:15:02 EST
MSFT211217C00335000,MSFT211217C00335000,Sell,Cancelled,0,1,@1.42,,DAY,12/15/2021 10:14:41 EST,
ORCL211217P00097000,ORCL211217P00097000,Sell,Filled,1,1,@0.170,0.170,DAY,12/15/2021 10:03:09 EST,12/15/2021 10:03:09 EST
MSFT211217C00335000,MSFT211217C00335000,Buy,Filled,1,1,@1.39,1.39,DAY,12/15/2021 09:59:14 EST,12/15/2021 10:00:02 EST
RBLX211217P00090000,RBLX211217P00090000,Sell,Filled,1,1,1.05,1.05,DAY,12/15/2021 09:56:38 EST,12/15/2021 09:56:39 EST
TSLA211217P00900000,TSLA211217P00900000,Sell,Filled,1,1,@4.50,4.50,DAY,12/15/2021 09:53:52 EST,12/15/2021 09:54:19 EST
RBLX211217P00090000,RBLX211217P00090000,Buy,Filled,1,1,@1.72,1.72,DAY,12/15/2021 09:42:55 EST,12/15/2021 09:42:55 EST
RBLX211217P00095000,RBLX211217P00095000,Sell,Filled,1,1,@3.80,3.80,DAY,12/15/2021 09:40:24 EST,12/15/2021 09:40:38 EST
TSLA211217P00900000,TSLA211217P00900000,Buy,Filled,1,1,@3.50,3.50,DAY,12/15/2021 09:39:48 EST,12/15/2021 09:39:48 EST
DIS211217P00147000,DIS211217P00147000,Sell,Filled,2,2,@1.25,1.25,DAY,12/15/2021 09:36:51 EST,12/15/2021 09:36:59 EST
COUP211217C00225000,COUP211217C00225000,Sell,Cancelled,0,1,@Market,,DAY,12/15/2021 09:34:40 EST,
